NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,LongestStreak,CurrentStreak
13,3,R. City,What Dreams Are Made Of,Locked Away (feat. Adam Levine),Locked Away (feat. Adam Levine),Locked Away (feat. Adam Levine),NA,NA,NA,NA,NA,NA,NA,NA,NA,Locked Away (feat. Adam Levine),Locked Away (feat. Adam Levine),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Locked Away (feat. Adam Levine),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Locked Away (feat. Adam Levine),Locked Away (feat. Adam Levine),NA,NA,Locked Away (feat. Adam Levine),Locked Away (feat. Adam Levine),NA,Locked Away (feat. Adam Levine),Locked Away (feat. Adam Levine),Locked Away (feat. Adam Levine),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
2,1,Lil Wayne,Tha Carter III,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lollipop (feat. Static Major),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lollipop (feat. Static Major),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
7,6,Noah Cyrus,The End of Everything,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lonely,Lonely,Lonely,Lonely,Lonely,Lonely,NA,NA,Lonely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
11,6,Justin Bieber,Justice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lonely (feat. benny blanco),Lonely (feat. benny blanco),Lonely (feat. benny blanco),Lonely (feat. benny blanco),Lonely (feat. benny blanco),Lonely (feat. benny blanco),NA,Lonely (feat. benny blanco),NA,NA,Lonely (feat. benny blanco),Lonely (feat. benny blanco),NA,Lonely (feat. benny blanco),Lonely (feat. benny blanco),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
6,4,Akon,Trouble,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lonely (Old Version) [Dirty],Lonely (Old Version) [Dirty],Lonely (Old Version) [Dirty],Lonely (Old Version) [Dirty],NA,NA,Lonely (Old Version) [Dirty],NA,NA,NA,NA,NA,NA,NA,Lonely (Old Version) [Dirty],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
8,6,Chelsea Cutler,Sleeping With Roses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lonely Alone (feat. Jeremy Zucker),Lonely Alone (feat. Jeremy Zucker),Lonely Alone (feat. Jeremy Zucker),Lonely Alone (feat. Jeremy Zucker),Lonely Alone (feat. Jeremy Zucker),Lonely Alone (feat. Jeremy Zucker),NA,Lonely Alone (feat. Jeremy Zucker),NA,NA,Lonely Alone (feat. Jeremy Zucker),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
3,2,Dirty Heads,Any Port in a Storm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lonely One,Lonely One,NA,NA,NA,Lonely One,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
6,2,Selena Gomez,Rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Look At Her Now,Look At Her Now,NA,NA,Look At Her Now,NA,NA,NA,Look At Her Now,Look At Her Now,NA,NA,NA,NA,NA,Look At Her Now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
13,10,Stephen Puth,Look Away - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Look Away,Look Away,Look Away,Look Away,Look Away,Look Away,Look Away,Look Away,Look Away,Look Away,NA,NA,NA,Look Away,NA,NA,NA,NA,NA,NA,Look Away,NA,NA,NA,NA,NA,Look Away,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0
6,2,Taylor Swift,reputation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Look What You Made Me Do,NA,Look What You Made Me Do,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Look What You Made Me Do,NA,NA,NA,NA,NA,NA,Look What You Made Me Do,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Look What You Made Me Do,Look What You Made Me Do,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
11,7,Daft Punk,Random Access Memories,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lose Yourself to Dance (feat. Pharrell Williams),Lose Yourself to Dance (feat. Pharrell Williams),Lose Yourself to Dance (feat. Pharrell Williams),Lose Yourself to Dance (feat. Pharrell Williams),Lose Yourself to Dance (feat. Pharrell Williams),Lose Yourself to Dance (feat. Pharrell Williams),Lose Yourself to Dance (feat. Pharrell Williams),NA,NA,NA,NA,Lose Yourself to Dance (feat. Pharrell Williams),NA,NA,NA,NA,NA,NA,NA,NA,Lose Yourself to Dance (feat. Pharrell Williams),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lose Yourself to Dance (feat. Pharrell Williams),Lose Yourself to Dance (feat. Pharrell Williams),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
14,8,Beck,Mellow Gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loser,Loser,Loser,Loser,Loser,Loser,Loser,Loser,NA,NA,NA,Loser,Loser,NA,NA,Loser,NA,NA,NA,NA,NA,Loser,NA,NA,NA,NA,Loser,NA,NA,NA,NA,NA,NA,NA,NA,Loser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0
7,4,Kris Allen,Horizons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lost [3],Lost [3],Lost [3],Lost [3],NA,Lost [3],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lost [3],Lost [3],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
10,4,Beck,Sea Change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lost Cause,Lost Cause,Lost Cause,NA,Lost Cause,Lost Cause,Lost Cause,Lost Cause,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lost Cause,NA,NA,NA,NA,NA,NA,NA,Lost Cause,Lost Cause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
19,15,KennyHoopla,lost cause// (feat. Jesse) - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),lost cause// (feat. Jesse),NA,lost cause// (feat. Jesse),lost cause// (feat. Jesse),NA,NA,lost cause// (feat. Jesse),lost cause// (feat. Jesse),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0
22,7,Kanye West,My Beautiful Dark Twisted Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lost In the World,Lost In the World,Lost In the World,Lost In the World,Lost In the World,Lost In the World,Lost In the World,NA,Lost In the World,Lost In the World,Lost In the World,NA,Lost In the World,NA,Lost In the World,Lost In the World,NA,NA,Lost In the World,NA,NA,NA,Lost In the World,NA,NA,NA,NA,Lost In the World,NA,NA,NA,NA,Lost In the World,NA,NA,NA,NA,NA,NA,NA,NA,Lost In the World,NA,Lost In the World,NA,NA,NA,NA,NA,NA,Lost In the World,NA,NA,NA,Lost In the World,NA,NA,NA,NA,NA,NA,NA,NA,Lost In the World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
2,2,Son Lux,Lanterns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lost It To Trying,Lost It To Trying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
11,6,The Fray,Helios,NA,NA,NA,NA,NA,NA,NA,NA,Love Don't Die,Love Don't Die,Love Don't Die,Love Don't Die,Love Don't Die,Love Don't Die,NA,NA,NA,Love Don't Die,Love Don't Die,NA,NA,NA,NA,NA,NA,NA,Love Don't Die,NA,NA,Love Don't Die,NA,NA,NA,NA,NA,Love Don't Die,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
3,1,The Ready Set,"I'm Alive, I'm Dreaming",NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Like Woe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Like Woe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Like Woe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
39,21,Kanye West,808s & Heartbreak,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,NA,NA,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,NA,Love Lockdown,Love Lockdown,NA,NA,Love Lockdown,NA,NA,NA,NA,Love Lockdown,Love Lockdown,NA,NA,Love Lockdown,Love Lockdown,NA,Love Lockdown,NA,NA,Love Lockdown,NA,NA,NA,NA,NA,NA,Love Lockdown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Lockdown,NA,NA,NA,Love Lockdown,Love Lockdown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0
8,3,John Newman,Tribute,NA,NA,NA,NA,NA,NA,NA,Love Me Again,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Me Again,Love Me Again,Love Me Again,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Me Again,Love Me Again,NA,Love Me Again,NA,NA,NA,NA,NA,NA,Love Me Again,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
5,4,The Beatles,Please Please Me,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Me Do,Love Me Do,Love Me Do,Love Me Do,NA,NA,NA,NA,NA,NA,NA,Love Me Do,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
6,3,John Legend,Darkness and Light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Me Now,Love Me Now,Love Me Now,NA,NA,NA,Love Me Now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Me Now,Love Me Now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
10,7,John Mayer,The Search for Everything,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love on the Weekend,Love on the Weekend,Love on the Weekend,Love on the Weekend,Love on the Weekend,Love on the Weekend,Love on the Weekend,NA,NA,NA,NA,NA,NA,NA,Love on the Weekend,NA,NA,NA,Love on the Weekend,Love on the Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
5,2,OneRepublic,Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Runs Out,Love Runs Out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Runs Out,NA,Love Runs Out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Runs Out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
10,9,Lukas Graham,3 (The Purple Album),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Someone,Love Someone,Love Someone,Love Someone,Love Someone,Love Someone,Love Someone,Love Someone,Love Someone,NA,NA,Love Someone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0
4,2,X Ambassadors,Love Songs Drug Songs - EP,NA,NA,NA,NA,NA,NA,NA,Love Songs Drug Songs,Love Songs Drug Songs,NA,NA,Love Songs Drug Songs,Love Songs Drug Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
4,4,Taylor Swift,Fearless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love Story,Love Story,Love Story,Love Story,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
8,3,Wrabel,one of those happy people - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love to Love U,Love to Love U,Love to Love U,NA,Love to Love U,Love to Love U,Love to Love U,NA,NA,NA,NA,Love to Love U,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love to Love U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
11,7,Cake,Comfort Eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love You Madly,Love You Madly,Love You Madly,Love You Madly,Love You Madly,Love You Madly,Love You Madly,NA,Love You Madly,NA,Love You Madly,NA,NA,NA,NA,NA,NA,NA,NA,Love You Madly,Love You Madly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
7,3,Lady GaGa,The Fame,NA,NA,NA,NA,NA,NA,NA,NA,LoveGame,NA,NA,NA,NA,LoveGame,LoveGame,LoveGame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LoveGame,NA,LoveGame,NA,NA,NA,NA,NA,LoveGame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
4,2,Justin Timberlake,FutureSex/LoveSounds,NA,NA,NA,NA,NA,NA,NA,LoveStoned/I Think She Knows (Interlude),LoveStoned/I Think She Knows (Interlude),NA,NA,LoveStoned/I Think She Knows (Interlude),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LoveStoned/I Think She Knows (Interlude),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
4,3,Flo Rida,Mail On Sunday,NA,NA,Low (feat. T-Pain),Low (feat. T-Pain),Low (feat. T-Pain),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low (feat. T-Pain),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
6,2,Chelsea Cutler,How to Be Human,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lucky (feat. Alexander 23),Lucky (feat. Alexander 23),NA,Lucky (feat. Alexander 23),Lucky (feat. Alexander 23),NA,NA,NA,Lucky (feat. Alexander 23),NA,Lucky (feat. Alexander 23),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
17,3,Jason Mraz,We Sing. We Dance. We Steal Things,NA,NA,NA,NA,NA,NA,NA,Lucky (feat. Colbie Caillat),NA,NA,NA,NA,Lucky (feat. Colbie Caillat),Lucky (feat. Colbie Caillat),NA,NA,NA,Lucky (feat. Colbie Caillat),NA,NA,Lucky (feat. Colbie Caillat),NA,NA,Lucky (feat. Colbie Caillat),NA,NA,NA,NA,Lucky (feat. Colbie Caillat),NA,Lucky (feat. Colbie Caillat),Lucky (feat. Colbie Caillat),NA,Lucky (feat. Colbie Caillat),NA,NA,Lucky (feat. Colbie Caillat),NA,Lucky (feat. Colbie Caillat),NA,NA,Lucky (feat. Colbie Caillat),Lucky (feat. Colbie Caillat),Lucky (feat. Colbie Caillat),NA,NA,NA,NA,NA,Lucky (feat. Colbie Caillat),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lucky (feat. Colbie Caillat),NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
8,3,Kendrick Lamar,Good Kid M.A.A.D City-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M.A.A.D City (Feat. MC Eiht),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M.A.A.D City (Feat. MC Eiht),NA,NA,NA,M.A.A.D City (Feat. MC Eiht),M.A.A.D City (Feat. MC Eiht),M.A.A.D City (Feat. MC Eiht),NA,M.A.A.D City (Feat. MC Eiht),NA,NA,M.A.A.D City (Feat. MC Eiht),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M.A.A.D City (Feat. MC Eiht),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
23,8,Muse,The 2nd Law,NA,NA,Madness,Madness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Madness,Madness,Madness,NA,NA,NA,NA,NA,NA,Madness,Madness,Madness,Madness,Madness,Madness,Madness,Madness,NA,Madness,Madness,Madness,Madness,NA,Madness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Madness,NA,NA,NA,NA,NA,NA,NA,Madness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Madness,Madness,NA,NA,NA,NA,NA,NA,Madness,NA,NA,NA,NA,NA,NA,NA,NA,8,0
